event_date,cart,purchase,return,view,total_revenue
2024-11-27,1,2,3,1,7200.0
2024-11-28,6,1,4,4,3200.0
2024-11-29,2,3,3,4,3398.0
2024-11-30,1,6,3,3,26195.0
2024-12-01,1,5,0,2,28095.0
2024-12-02,4,2,5,5,-5100.0
2024-12-03,2,5,4,2,22896.0
2024-12-04,2,3,1,0,14397.0
2024-12-05,1,1,0,7,5599.0
2024-12-06,1,1,1,1,7799.0
2024-12-07,2,1,3,2,-9999.0
2024-12-08,7,2,4,1,8999.0
2024-12-09,2,5,1,4,33195.0
2024-12-10,4,5,6,5,19897.0
2024-12-11,3,1,2,3,-2200.0
2024-12-12,1,0,3,3,-2399.0
2024-12-13,1,2,2,6,9599.0
2024-12-14,3,2,7,1,-3299.0
2024-12-15,2,4,4,1,20796.0
2024-12-16,3,1,4,3,-1400.0
2024-12-17,7,3,3,0,19196.0
2024-12-18,1,6,2,8,22793.0
2024-12-19,5,0,3,1,-17798.0
2024-12-20,2,2,0,2,8798.0
2024-12-21,1,7,3,6,37794.0
2024-12-22,3,3,2,3,14898.0
2024-12-23,4,2,2,3,1798.0
2024-12-24,7,1,2,5,0.0
2024-12-25,4,2,5,1,-11900.0
2024-12-26,2,1,2,5,9999.0
2024-12-27,2,1,0,4,3399.0
2024-12-28,2,2,7,1,4700.0
2024-12-29,1,1,0,3,9999.0
2024-12-30,0,5,6,4,20197.0
2024-12-31,6,0,2,3,-3399.0
2025-01-01,6,3,0,2,17597.0
2025-01-02,0,2,7,2,-2799.0
2025-01-03,4,5,3,2,26496.0
2025-01-04,2,6,2,1,47994.0
2025-01-05,1,2,3,3,-201.0
2025-01-06,7,6,0,4,39394.0
2025-01-07,2,3,8,4,11498.0
2025-01-08,5,2,4,3,11498.0
2025-01-09,5,3,4,2,15696.0
2025-01-10,5,3,2,0,10697.0
2025-01-11,2,0,0,3,0.0
2025-01-12,3,3,3,2,25096.0
2025-01-13,5,4,4,1,-2001.0
2025-01-14,1,1,1,1,8099.0
2025-01-15,2,1,1,2,1999.0
2025-01-16,3,0,6,2,-1200.0
2025-01-17,4,6,2,2,45293.0
2025-01-18,1,3,3,5,7198.0
2025-01-19,0,3,5,3,4199.0
2025-01-20,6,2,2,3,4599.0
2025-01-21,1,1,4,7,3399.0
2025-01-22,2,3,1,3,13897.0
2025-01-23,5,0,2,6,0.0
2025-01-24,3,2,6,4,-2500.0
2025-01-25,1,2,3,4,10998.0
2025-01-26,3,3,2,2,15198.0
2025-01-27,2,6,3,3,23195.0
2025-01-28,4,2,5,1,10799.0
2025-01-29,1,0,1,2,0.0
2025-01-30,3,5,4,7,29696.0
2025-01-31,5,4,4,3,21196.0
2025-02-01,2,1,4,1,2500.0
2025-02-02,3,1,4,2,1500.0
2025-02-03,1,5,3,1,24595.0
2025-02-04,3,5,3,3,10495.0
2025-02-05,3,4,1,4,22696.0
2025-02-06,1,0,2,6,0.0
2025-02-07,2,2,2,3,6399.0
2025-02-08,0,4,6,3,10998.0
2025-02-09,4,2,4,4,1599.0
2025-02-10,1,5,0,0,27795.0
2025-02-11,2,2,1,7,13698.0
2025-02-12,5,3,2,1,4298.0
2025-02-13,5,0,2,3,-2399.0
2025-02-14,1,5,4,3,40694.0
2025-02-15,3,0,3,2,-11498.0
2025-02-16,2,0,6,1,-12897.0
2025-02-17,4,1,2,2,0.0
2025-02-18,2,2,3,1,1299.0
2025-02-19,3,3,2,3,18297.0
2025-02-20,4,1,2,3,7799.0
2025-02-21,3,2,1,4,5599.0
2025-02-22,3,4,5,5,18597.0
2025-02-23,1,2,5,3,-5601.0
2025-02-24,0,3,1,4,11797.0
2025-02-25,5,5,1,6,14196.0
2025-02-26,2,4,4,3,35295.0
2025-02-27,1,0,4,2,-5800.0
2025-02-28,3,1,5,4,2399.0
2025-03-01,2,2,3,3,6199.0
2025-03-02,2,2,1,3,11498.0
2025-03-03,1,3,4,2,31295.0
2025-03-04,3,1,0,4,6399.0
2025-03-05,2,2,0,3,1798.0
2025-03-06,3,4,4,2,16396.0
2025-03-07,4,1,2,4,-2399.0
2025-03-08,0,1,1,2,899.0
2025-03-09,1,3,5,1,10899.0
2025-03-10,2,0,0,1,0.0
2025-03-11,1,4,4,4,20795.0
2025-03-12,3,2,2,2,22397.0
2025-03-13,4,3,3,3,11998.0
2025-03-14,3,3,5,1,2299.0
2025-03-15,0,5,2,1,8796.0
2025-03-16,1,7,2,2,43893.0
2025-03-17,4,3,0,4,12197.0
2025-03-18,4,2,4,1,-6800.0
2025-03-19,2,3,0,1,18297.0
2025-03-20,5,2,5,2,-3701.0
2025-03-21,1,0,2,2,0.0
2025-03-22,2,5,2,2,34096.0
2025-03-23,2,4,0,2,22596.0
2025-03-24,1,6,0,1,25894.0
2025-03-25,2,2,7,3,8897.0
2025-03-26,3,2,0,3,4798.0
2025-03-27,1,3,3,3,8998.0
2025-03-28,2,1,1,3,2399.0
2025-03-29,2,3,3,5,14598.0
2025-03-30,1,1,3,2,5599.0
2025-03-31,3,3,2,2,3797.0
2025-04-01,2,4,1,3,19996.0
2025-04-02,5,2,0,5,2898.0
2025-04-03,4,1,4,5,6900.0
2025-04-04,2,1,1,1,11998.0
2025-04-05,1,3,2,3,8798.0
2025-04-06,3,2,3,3,9798.0
2025-04-07,3,2,2,1,8698.0
2025-04-08,6,1,2,4,2399.0
2025-04-09,5,0,5,1,-13597.0
2025-04-10,3,5,0,3,27795.0
2025-04-11,2,2,5,0,2900.0
2025-04-12,1,5,3,2,11996.0
2025-04-13,2,2,2,3,8998.0
2025-04-14,1,2,0,1,4398.0
2025-04-15,7,1,1,1,9999.0
2025-04-16,2,5,3,3,19195.0
2025-04-17,0,3,0,3,27797.0
2025-04-18,5,2,2,3,6999.0
2025-04-19,3,3,4,1,14597.0
2025-04-20,4,2,2,5,15598.0
2025-04-21,6,0,3,1,-899.0
2025-04-22,1,2,2,3,7298.0
2025-04-23,3,0,5,3,2200.0
2025-04-24,5,2,1,2,8698.0
2025-04-25,2,2,2,4,2399.0
2025-04-26,0,2,4,3,13398.0
2025-04-27,4,2,4,6,15697.0
2025-04-28,5,2,4,1,20696.0
2025-04-29,3,0,4,3,0.0
2025-04-30,2,4,3,1,30096.0
2025-05-01,3,2,2,0,10198.0
2025-05-02,3,1,0,4,5599.0
2025-05-03,3,1,0,4,8099.0
2025-05-04,2,3,3,3,18297.0
2025-05-05,2,3,2,6,5297.0
2025-05-06,2,4,1,4,19996.0
2025-05-07,1,2,2,3,16198.0
2025-05-08,2,2,1,4,3399.0
2025-05-09,0,7,2,0,22195.0
2025-05-10,1,0,3,1,0.0
2025-05-11,2,6,4,3,33594.0
2025-05-12,2,3,2,5,18297.0
2025-05-13,2,2,2,5,10498.0
2025-05-14,3,1,4,1,-14598.0
2025-05-15,0,5,6,3,27295.0
2025-05-16,3,3,2,1,9798.0
2025-05-17,2,4,3,3,23697.0
2025-05-18,2,2,2,3,10997.0
2025-05-19,3,3,2,5,14498.0
2025-05-20,2,1,5,2,1400.0
2025-05-21,1,1,4,2,4599.0
2025-05-22,4,3,2,2,-101.0
2025-05-23,3,1,1,5,4298.0
2025-05-24,1,1,1,2,0.0
2025-05-25,3,1,1,2,7799.0
2025-05-26,5,2,0,2,12398.0
2025-05-27,4,2,1,3,4899.0
2025-05-28,2,3,6,4,-8000.0
2025-05-29,2,1,2,3,-3700.0
2025-05-30,1,5,1,4,5496.0
2025-05-31,5,3,2,1,12997.0
2025-06-01,2,1,1,0,9999.0
2025-06-02,2,2,1,2,16497.0
2025-06-03,2,4,5,2,9999.0
2025-06-04,1,1,4,4,-3099.0
2025-06-05,1,6,5,2,22094.0
2025-06-06,2,2,7,2,2600.0
2025-06-07,3,1,4,1,2399.0
2025-06-08,1,4,2,2,14596.0
2025-06-09,2,1,5,2,9099.0
2025-06-10,2,4,0,3,16896.0
2025-06-11,1,3,3,2,21997.0
2025-06-12,6,2,1,0,13599.0
2025-06-13,0,2,4,1,3200.0
2025-06-14,1,3,4,4,27797.0
2025-06-15,0,2,2,0,3500.0
2025-06-16,6,0,2,3,1200.0
2025-06-17,3,6,5,4,25296.0
2025-06-18,5,3,3,4,3797.0
2025-06-19,4,4,3,4,9897.0
2025-06-20,2,0,3,3,-6399.0
2025-06-21,1,0,4,0,-2500.0
2025-06-22,4,3,3,3,-10600.0
2025-06-23,5,2,2,4,2898.0
2025-06-24,5,2,4,1,8998.0
2025-06-25,6,4,3,4,31995.0
2025-06-26,11,1,2,4,-11499.0
2025-06-27,1,7,5,2,25993.0
2025-06-28,4,2,3,3,-6301.0
2025-06-29,4,1,2,3,6399.0
2025-06-30,5,3,5,3,31196.0
2025-07-01,4,3,2,2,19097.0
2025-07-02,5,2,3,0,4599.0
2025-07-03,2,3,0,2,8597.0
2025-07-04,2,4,2,2,25698.0
2025-07-05,3,6,3,2,18694.0
2025-07-06,3,2,4,1,10698.0
2025-07-07,5,4,3,3,23696.0
2025-07-08,1,4,2,4,18997.0
2025-07-09,2,4,2,2,14497.0
2025-07-10,3,6,4,2,29094.0
2025-07-11,0,2,2,4,1599.0
2025-07-12,3,2,3,2,11998.0
2025-07-13,2,3,0,1,11097.0
2025-07-14,1,3,2,5,12397.0
2025-07-15,3,3,1,1,20097.0
2025-07-16,3,1,4,1,-1999.0
2025-07-17,4,3,0,2,14397.0
2025-07-18,2,4,1,1,14496.0
2025-07-19,3,3,5,2,5599.0
2025-07-20,4,5,1,1,20495.0
2025-07-21,2,3,1,1,18797.0
2025-07-22,3,1,1,2,4599.0
